time;lv_rural1;lv_rural3;lv_semiurb4
01.01.2016 00:00;0;0;0
01.01.2016 00:15;0;0;0
01.01.2016 00:30;0;0;0
01.01.2016 00:45;0;0;0
01.01.2016 01:00;0;0;0
01.01.2016 01:15;0;0;0
01.01.2016 01:30;0;0;0
01.01.2016 01:45;0;0;0
01.01.2016 02:00;0;0;0
01.01.2016 02:15;0;0;0
01.01.2016 02:30;0;0;0
01.01.2016 02:45;0;0;0
01.01.2016 03:00;0;0;0
01.01.2016 03:15;0;0;0
01.01.2016 03:30;0;0;0
01.01.2016 03:45;0;0;0
01.01.2016 04:00;0;0;0
01.01.2016 04:15;0;0;0
01.01.2016 04:30;0;0;0
01.01.2016 04:45;0;0;0
01.01.2016 05:00;0;0;0
01.01.2016 05:15;0;0;0
01.01.2016 05:30;0;0;0
01.01.2016 05:45;0;0;0
01.01.2016 06:00;0;0;0
01.01.2016 06:15;0;0;0
01.01.2016 06:30;0;0;0
01.01.2016 06:45;0;0;0
01.01.2016 07:00;0;0;0
01.01.2016 07:15;0;0;0
01.01.2016 07:30;0;0;0
01.01.2016 07:45;0;0;0
01.01.2016 08:00;0;0;0
01.01.2016 08:15;0;0;0
01.01.2016 08:30;0;0;0
01.01.2016 08:45;0;0;0
01.01.2016 09:00;0;0;0
01.01.2016 09:15;0;0;0
01.01.2016 09:30;0;0;0
01.01.2016 09:45;0;0;0
01.01.2016 10:00;0;0;0
01.01.2016 10:15;0;0;0
01.01.2016 10:30;0;0;0
01.01.2016 10:45;0;0;0
01.01.2016 11:00;0;0;0
01.01.2016 11:15;0;0;0
01.01.2016 11:30;0;0;0
01.01.2016 11:45;0;0;0
01.01.2016 12:00;0;0;0
01.01.2016 12:15;0;0;0
01.01.2016 12:30;0;0;0
01.01.2016 12:45;0;0;0
01.01.2016 13:00;0;0;0
01.01.2016 13:15;0;0;0
01.01.2016 13:30;0;0;0
01.01.2016 13:45;0;0;0
01.01.2016 14:00;0;0;0
01.01.2016 14:15;0;0;0
01.01.2016 14:30;0;0;0
01.01.2016 14:45;0;0;0
01.01.2016 15:00;0;0;0
01.01.2016 15:15;0;0;0
01.01.2016 15:30;0;0;0
01.01.2016 15:45;0;0;0
01.01.2016 16:00;0;0;0
01.01.2016 16:15;0;0;0
01.01.2016 16:30;0;0;0
01.01.2016 16:45;0;0;0
01.01.2016 17:00;0;0;0
01.01.2016 17:15;0;0;0
01.01.2016 17:30;0;0;0
01.01.2016 17:45;0;0;0
01.01.2016 18:00;0;0;0
01.01.2016 18:15;0;0;0
01.01.2016 18:30;0;0;0
01.01.2016 18:45;0;0;0
01.01.2016 19:00;0;0;0
01.01.2016 19:15;0;0;0
01.01.2016 19:30;0;0;0
01.01.2016 19:45;0;0;0
01.01.2016 20:00;0;0;0
01.01.2016 20:15;0;0;0
01.01.2016 20:30;0;0;0
01.01.2016 20:45;0;0;0
01.01.2016 21:00;0;0;0
01.01.2016 21:15;0;0;0
01.01.2016 21:30;0;0;0
01.01.2016 21:45;0;0;0
01.01.2016 22:00;0;0;0
01.01.2016 22:15;0;0;0
01.01.2016 22:30;0;0;0
01.01.2016 22:45;0;0;0
01.01.2016 23:00;0;0;0
01.01.2016 23:15;0;0;0
01.01.2016 23:30;0;0;0
01.01.2016 23:45;0;0;0
02.01.2016 00:00;0;0;0
02.01.2016 00:15;0;0;0
02.01.2016 00:30;0;0;0
02.01.2016 00:45;0;0;0
02.01.2016 01:00;0;0;0
02.01.2016 01:15;0;0;0
02.01.2016 01:30;0;0;0
02.01.2016 01:45;0;0;0
02.01.2016 02:00;0;0;0
02.01.2016 02:15;0;0;0
02.01.2016 02:30;0;0;0
02.01.2016 02:45;0;0;0
02.01.2016 03:00;0;0;0
02.01.2016 03:15;0;0;0
02.01.2016 03:30;0;0;0
02.01.2016 03:45;0;0;0
02.01.2016 04:00;0;0;0
02.01.2016 04:15;0;0;0
02.01.2016 04:30;0;0;0
02.01.2016 04:45;0;0;0
02.01.2016 05:00;0;0;0
02.01.2016 05:15;0;0;0
02.01.2016 05:30;0;0;0
02.01.2016 05:45;0;0;0
02.01.2016 06:00;0;0;0
02.01.2016 06:15;0;0;0
02.01.2016 06:30;0;0;0
02.01.2016 06:45;0;0;0
02.01.2016 07:00;0;0;0
02.01.2016 07:15;0;0;0
02.01.2016 07:30;0;0;0
02.01.2016 07:45;0;0;0
02.01.2016 08:00;0;0;0
02.01.2016 08:15;0.008407;0;0.020433
02.01.2016 08:30;0.016814;0;0.040867
02.01.2016 08:45;0.022697;0;0.0613
02.01.2016 09:00;0.027025;0;0.057464
02.01.2016 09:15;0.03461;0;0.0628
02.01.2016 09:30;0.041227;0;0.083322
02.01.2016 09:45;0.04834;0;0.100348
02.01.2016 10:00;0.057503;0;0.069013
02.01.2016 10:15;0.065185;0;0.067932
02.01.2016 10:30;0.066582;0;0.06685
02.01.2016 10:45;0.059192;0;0.065769
02.01.2016 11:00;0.05766;0;0.064688
02.01.2016 11:15;0.063172;0.00833;0.07317
02.01.2016 11:30;0.072986;0.01666;0.081653
02.01.2016 11:45;0.077482;0.024989;0.090136
02.01.2016 12:00;0.080944;0.033319;0.080039
02.01.2016 12:15;0.083294;0.024989;0.052949
02.01.2016 12:30;0.078815;0.01666;0.059106
02.01.2016 12:45;0.093226;0.00833;0.05377
02.01.2016 13:00;0.081878;0;0.082501
02.01.2016 13:15;0.069899;0;0.100562
02.01.2016 13:30;0.072552;0;0.106719
02.01.2016 13:45;0.061278;0;0.140376
02.01.2016 14:00;0.079097;0;0.133808
02.01.2016 14:15;0.051578;0;0.07163
02.01.2016 14:30;0.046636;0;0.044349
02.01.2016 14:45;0.044986;0;0.022175
02.01.2016 15:00;0.037751;0;0
02.01.2016 15:15;0.034219;0;0
02.01.2016 15:30;0.013676;0;0
02.01.2016 15:45;0.006173;0;0
02.01.2016 16:00;0.007278;0;0
02.01.2016 16:15;0.009936;0;0
02.01.2016 16:30;0.01291;0;0
02.01.2016 16:45;0.011018;0;0
02.01.2016 17:00;0.01167;0;0
02.01.2016 17:15;0.013901;0;0
02.01.2016 17:30;0.011333;0;0
02.01.2016 17:45;0.007549;0;0
02.01.2016 18:00;0;0;0
02.01.2016 18:15;0;0;0
02.01.2016 18:30;0;0;0
02.01.2016 18:45;0;0;0
02.01.2016 19:00;0;0;0
02.01.2016 19:15;0;0;0
02.01.2016 19:30;0;0;0
02.01.2016 19:45;0;0;0
02.01.2016 20:00;0;0;0
02.01.2016 20:15;0;0;0
02.01.2016 20:30;0;0;0
02.01.2016 20:45;0;0;0
02.01.2016 21:00;0;0;0
02.01.2016 21:15;0;0;0
02.01.2016 21:30;0;0;0
02.01.2016 21:45;0;0;0
02.01.2016 22:00;0;0;0
02.01.2016 22:15;0;0;0
02.01.2016 22:30;0;0;0
02.01.2016 22:45;0;0;0
02.01.2016 23:00;0;0;0
02.01.2016 23:15;0;0;0
02.01.2016 23:30;0;0;0
